NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),ENERGYSTARScore,Latitude,Longitude,BuildingAge,RT_Avenue,RT_Other,RT_Street,RT_Way,PP_K-12 School,PP_Large Office,PP_Mixed Use Property,PP_Non-Refrigerated Warehouse,PP_Other,PP_Retail Store,PP_Small- and Mid-Sized Office,PP_Warehouse,SiteEnergyUse(kBtu),TotalGHGEmissions
1.0,1.0,101101.0,101101.0,1.0,47.56874,-122.33303,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21795830.0,152.71
1.0,6.0,116300.0,88100.0,80.0,47.62025,-122.34314,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5827595.5,162.39
0.0,2.0,24430.0,24430.0,6.25,47.58999,-122.33539,79.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1232822.875,23.62
1.0,1.0,26092.0,26092.0,48.0,47.53747211,-122.2830397,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7067404.0,145.57
1.0,1.0,141686.0,141686.0,56.75,47.56301,-122.32564,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6673138.0,46.52
1.0,2.0,20385.0,20385.0,65.0,47.68072624,-122.2899609,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,816118.0,34.28
1.0,6.0,73102.0,73102.0,84.0,47.60148,-122.33379,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4307238.5,30.03
1.0,1.0,20796.0,20796.0,55.75,47.58387,-122.32092,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1324092.125,51.1
1.0,8.0,60660.0,60660.0,35.0,47.60950851,-122.33650208,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2876857.0,20.06
3.0,2.0,63644.0,63644.0,42.25,47.59048101,-122.3284575,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7256842.0,160.3
1.0,2.0,108753.0,89893.0,46.75,47.59424167,-122.3283921,85.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3660395.0,25.52
1.0,25.0,369996.0,369996.0,74.0,47.61217,-122.33694,27.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24755086.0,172.58
1.0,6.0,35820.0,35820.0,91.0,47.60208905,-122.32903145,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3507714.0,138.61
1.0,1.0,24990.0,24990.0,69.0,47.57924235,-122.3248659,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,591249.0,8.98
1.0,1.0,243044.0,243044.0,99.0,47.56376232,-122.3423613,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2512319.0,93.67
1.0,3.0,48924.0,48924.0,77.0,47.65101371,-122.3553519,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2023197.0,49.63
1.0,2.0,25920.0,25920.0,55.0,47.60976255,-122.3348444,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1415494.0,9.87
0.0,1.0,36070.0,36070.0,62.25,47.58476,-122.29765,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1441665.375,10.05
1.0,6.0,40715.0,40715.0,61.0,47.60836,-122.34157,101.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2827772.75,44.89
1.0,2.0,28072.0,28072.0,51.25,47.67779084,-122.3527645,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1183408.0,54.95
1.0,1.0,46970.0,46970.0,81.75,47.65649,-122.37507,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,882896.5,6.16
1.0,1.0,24697.0,24697.0,84.0,47.71986,-122.29809,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1295685.75,29.18
1.0,3.0,35115.0,35115.0,51.25,47.7139,-122.29794,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1922953.25,31.94
1.0,2.0,49252.0,49252.0,7.0,47.72750101,-122.3270372,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3886929.0,93.23
1.0,2.0,36771.0,36771.0,60.25,47.63286,-122.36141,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5447076.5,37.97
1.0,1.0,33320.0,33320.0,52.75,47.52549,-122.33064,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2339234.0,64.75
1.0,1.0,21850.0,21850.0,100.0,47.61118,-122.288,116.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,317794.4063,13.09
1.0,16.0,106860.0,106860.0,46.0,47.66156526,-122.3146098,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12087498.0,467.18
1.0,1.0,35844.0,35844.0,14.0,47.50959,-122.37417,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,866126.375,6.04
1.0,2.0,51489.0,51489.0,93.0,47.5773,-122.4074,62.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984067.625,70.76
1.0,41.0,956110.0,759392.0,43.0,47.61393,-122.3381,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72587024.0,2089.28
1.0,1.0,44000.0,44000.0,13.0,47.5309583,-122.3320685,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4481010.0,190.17
1.0,4.0,110785.0,110785.0,73.75,47.6239,-122.35756,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10557910.0,92.91
1.0,3.0,25262.0,25262.0,54.0,47.64976,-122.35684,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1469556.25,23.85
